07-15 20:53:36.813 ImageNet-train: 1281167 images
07-15 20:53:37.850 Model params = 5.941M
07-15 20:54:06.765 [epoch 0], [iter 50 / 570 : 49], [loss 2.705959], [lr 0.002496], [time 0.0327]
07-15 20:54:32.212 [epoch 0], [iter 100 / 570 : 99], [loss 1.974230], [lr 0.002492], [time 0.0318]
07-15 20:54:57.750 [epoch 0], [iter 150 / 570 : 149], [loss 1.820995], [lr 0.002488], [time 0.0319]
07-15 20:55:23.316 [epoch 0], [iter 200 / 570 : 199], [loss 1.768541], [lr 0.002484], [time 0.0320]
07-15 20:55:48.912 [epoch 0], [iter 250 / 570 : 249], [loss 1.640497], [lr 0.002480], [time 0.0320]
07-15 20:56:14.445 [epoch 0], [iter 300 / 570 : 299], [loss 1.637242], [lr 0.002476], [time 0.0319]
07-15 20:56:40.024 [epoch 0], [iter 350 / 570 : 349], [loss 1.608369], [lr 0.002472], [time 0.0320]
07-15 20:57:05.527 [epoch 0], [iter 400 / 570 : 399], [loss 1.542971], [lr 0.002468], [time 0.0319]
07-15 20:57:31.021 [epoch 0], [iter 450 / 570 : 449], [loss 1.461147], [lr 0.002465], [time 0.0319]
07-15 20:57:56.501 [epoch 0], [iter 500 / 570 : 499], [loss 1.482857], [lr 0.002461], [time 0.0318]
07-15 20:58:21.914 [epoch 0], [iter 550 / 570 : 549], [loss 1.475638], [lr 0.002457], [time 0.0318]
07-15 20:58:32.543 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_15_20/last_None_epoch_0_mean-iu_0.00000.pth
07-15 20:59:00.480 [epoch 1], [iter 50 / 570 : 619], [loss 1.444291], [lr 0.002451], [time 0.0322]
07-15 20:59:25.996 [epoch 1], [iter 100 / 570 : 669], [loss 1.473709], [lr 0.002447], [time 0.0319]
07-15 20:59:51.513 [epoch 1], [iter 150 / 570 : 719], [loss 1.457549], [lr 0.002443], [time 0.0319]
07-15 21:00:16.937 [epoch 1], [iter 200 / 570 : 769], [loss 1.391648], [lr 0.002439], [time 0.0318]
07-15 21:00:42.451 [epoch 1], [iter 250 / 570 : 819], [loss 1.392221], [lr 0.002435], [time 0.0319]
07-15 21:01:07.969 [epoch 1], [iter 300 / 570 : 869], [loss 1.357158], [lr 0.002431], [time 0.0319]
07-15 21:01:33.417 [epoch 1], [iter 350 / 570 : 919], [loss 1.391592], [lr 0.002427], [time 0.0318]
07-15 21:01:58.867 [epoch 1], [iter 400 / 570 : 969], [loss 1.425986], [lr 0.002423], [time 0.0318]
07-15 21:02:24.398 [epoch 1], [iter 450 / 570 : 1019], [loss 1.366719], [lr 0.002419], [time 0.0319]
07-15 21:02:49.948 [epoch 1], [iter 500 / 570 : 1069], [loss 1.389979], [lr 0.002415], [time 0.0319]
07-15 21:03:15.387 [epoch 1], [iter 550 / 570 : 1119], [loss 1.393713], [lr 0.002411], [time 0.0318]
