07-16 00:59:47.941 ImageNet-train: 1281167 images
07-16 00:59:49.038 Model params = 5.941M
07-16 01:00:17.754 [epoch 0], [iter 50 / 570 : 49], [loss 2.705562], [lr 0.002496], [time 0.0328]
07-16 01:00:43.190 [epoch 0], [iter 100 / 570 : 99], [loss 1.975295], [lr 0.002492], [time 0.0318]
07-16 01:01:08.690 [epoch 0], [iter 150 / 570 : 149], [loss 1.822338], [lr 0.002488], [time 0.0319]
07-16 01:01:34.218 [epoch 0], [iter 200 / 570 : 199], [loss 1.770986], [lr 0.002484], [time 0.0319]
07-16 01:01:59.759 [epoch 0], [iter 250 / 570 : 249], [loss 1.641880], [lr 0.002480], [time 0.0319]
07-16 01:02:25.276 [epoch 0], [iter 300 / 570 : 299], [loss 1.639737], [lr 0.002476], [time 0.0319]
07-16 01:02:50.826 [epoch 0], [iter 350 / 570 : 349], [loss 1.609834], [lr 0.002472], [time 0.0319]
07-16 01:03:16.309 [epoch 0], [iter 400 / 570 : 399], [loss 1.545452], [lr 0.002468], [time 0.0318]
07-16 01:03:41.792 [epoch 0], [iter 450 / 570 : 449], [loss 1.464612], [lr 0.002465], [time 0.0318]
07-16 01:04:07.256 [epoch 0], [iter 500 / 570 : 499], [loss 1.486300], [lr 0.002461], [time 0.0318]
07-16 01:04:32.669 [epoch 0], [iter 550 / 570 : 549], [loss 1.479660], [lr 0.002457], [time 0.0318]
07-16 01:04:43.297 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_00/last_None_epoch_0_mean-iu_0.00000.pth
07-16 01:05:10.995 [epoch 1], [iter 50 / 570 : 619], [loss 1.446931], [lr 0.002451], [time 0.0320]
07-16 01:05:36.519 [epoch 1], [iter 100 / 570 : 669], [loss 1.476338], [lr 0.002447], [time 0.0319]
07-16 01:06:01.920 [epoch 1], [iter 150 / 570 : 719], [loss 1.458056], [lr 0.002443], [time 0.0317]
07-16 01:06:27.333 [epoch 1], [iter 200 / 570 : 769], [loss 1.394288], [lr 0.002439], [time 0.0318]
07-16 01:06:52.826 [epoch 1], [iter 250 / 570 : 819], [loss 1.393674], [lr 0.002435], [time 0.0319]
07-16 01:07:18.242 [epoch 1], [iter 300 / 570 : 869], [loss 1.359663], [lr 0.002431], [time 0.0318]
07-16 01:07:43.653 [epoch 1], [iter 350 / 570 : 919], [loss 1.394536], [lr 0.002427], [time 0.0318]
07-16 01:08:09.087 [epoch 1], [iter 400 / 570 : 969], [loss 1.426997], [lr 0.002423], [time 0.0318]
07-16 01:08:34.619 [epoch 1], [iter 450 / 570 : 1019], [loss 1.369672], [lr 0.002419], [time 0.0319]
07-16 01:09:00.044 [epoch 1], [iter 500 / 570 : 1069], [loss 1.390190], [lr 0.002415], [time 0.0318]
07-16 01:09:25.520 [epoch 1], [iter 550 / 570 : 1119], [loss 1.394266], [lr 0.002411], [time 0.0318]
07-16 01:09:36.191 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_00/last_None_epoch_1_mean-iu_0.00000.pth
07-16 01:10:03.972 [epoch 2], [iter 50 / 570 : 1189], [loss 1.385105], [lr 0.002406], [time 0.0321]
07-16 01:10:29.388 [epoch 2], [iter 100 / 570 : 1239], [loss 1.366629], [lr 0.002402], [time 0.0318]
07-16 01:10:54.829 [epoch 2], [iter 150 / 570 : 1289], [loss 1.360518], [lr 0.002398], [time 0.0318]
07-16 01:11:20.303 [epoch 2], [iter 200 / 570 : 1339], [loss 1.349128], [lr 0.002394], [time 0.0318]
07-16 01:11:45.726 [epoch 2], [iter 250 / 570 : 1389], [loss 1.314937], [lr 0.002390], [time 0.0318]
07-16 01:12:11.152 [epoch 2], [iter 300 / 570 : 1439], [loss 1.322445], [lr 0.002386], [time 0.0318]
07-16 01:12:36.591 [epoch 2], [iter 350 / 570 : 1489], [loss 1.355271], [lr 0.002382], [time 0.0318]
07-16 01:13:02.023 [epoch 2], [iter 400 / 570 : 1539], [loss 1.323806], [lr 0.002378], [time 0.0318]
07-16 01:13:27.477 [epoch 2], [iter 450 / 570 : 1589], [loss 1.311639], [lr 0.002374], [time 0.0318]
07-16 01:13:52.911 [epoch 2], [iter 500 / 570 : 1639], [loss 1.316904], [lr 0.002370], [time 0.0318]
07-16 01:14:18.379 [epoch 2], [iter 550 / 570 : 1689], [loss 1.279678], [lr 0.002366], [time 0.0318]
07-16 01:14:29.018 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_00/last_None_epoch_2_mean-iu_0.00000.pth
07-16 01:14:56.657 [epoch 3], [iter 50 / 570 : 1759], [loss 1.276678], [lr 0.002361], [time 0.0322]
07-16 01:15:22.107 [epoch 3], [iter 100 / 570 : 1809], [loss 1.331388], [lr 0.002357], [time 0.0318]
07-16 01:15:47.587 [epoch 3], [iter 150 / 570 : 1859], [loss 1.312911], [lr 0.002353], [time 0.0318]
07-16 01:16:13.039 [epoch 3], [iter 200 / 570 : 1909], [loss 1.281673], [lr 0.002349], [time 0.0318]
07-16 01:16:38.497 [epoch 3], [iter 250 / 570 : 1959], [loss 1.299036], [lr 0.002345], [time 0.0318]
07-16 01:17:03.976 [epoch 3], [iter 300 / 570 : 2009], [loss 1.318575], [lr 0.002341], [time 0.0318]
07-16 01:17:29.459 [epoch 3], [iter 350 / 570 : 2059], [loss 1.290480], [lr 0.002337], [time 0.0318]
07-16 01:17:54.890 [epoch 3], [iter 400 / 570 : 2109], [loss 1.301763], [lr 0.002333], [time 0.0318]
07-16 01:18:20.320 [epoch 3], [iter 450 / 570 : 2159], [loss 1.278045], [lr 0.002329], [time 0.0318]
07-16 01:18:45.749 [epoch 3], [iter 500 / 570 : 2209], [loss 1.301600], [lr 0.002325], [time 0.0318]
07-16 01:19:11.186 [epoch 3], [iter 550 / 570 : 2259], [loss 1.293908], [lr 0.002321], [time 0.0318]
07-16 01:19:21.847 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_00/last_None_epoch_3_mean-iu_0.00000.pth
07-16 01:19:49.651 [epoch 4], [iter 50 / 570 : 2329], [loss 1.283112], [lr 0.002315], [time 0.0322]
07-16 01:20:15.068 [epoch 4], [iter 100 / 570 : 2379], [loss 1.331198], [lr 0.002311], [time 0.0318]
07-16 01:20:40.530 [epoch 4], [iter 150 / 570 : 2429], [loss 1.291904], [lr 0.002307], [time 0.0318]
07-16 01:21:06.035 [epoch 4], [iter 200 / 570 : 2479], [loss 1.258005], [lr 0.002303], [time 0.0319]
07-16 01:21:31.508 [epoch 4], [iter 250 / 570 : 2529], [loss 1.270088], [lr 0.002299], [time 0.0318]
07-16 01:21:56.961 [epoch 4], [iter 300 / 570 : 2579], [loss 1.276347], [lr 0.002295], [time 0.0318]
07-16 01:22:22.391 [epoch 4], [iter 350 / 570 : 2629], [loss 1.287161], [lr 0.002291], [time 0.0318]
07-16 01:22:47.859 [epoch 4], [iter 400 / 570 : 2679], [loss 1.307312], [lr 0.002287], [time 0.0318]
07-16 01:23:13.321 [epoch 4], [iter 450 / 570 : 2729], [loss 1.208450], [lr 0.002283], [time 0.0318]
07-16 01:23:38.802 [epoch 4], [iter 500 / 570 : 2779], [loss 1.253775], [lr 0.002279], [time 0.0318]
07-16 01:24:04.199 [epoch 4], [iter 550 / 570 : 2829], [loss 1.308536], [lr 0.002276], [time 0.0317]
07-16 01:24:14.854 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_00/last_None_epoch_4_mean-iu_0.00000.pth
07-16 01:24:42.656 [epoch 5], [iter 50 / 570 : 2899], [loss 1.289642], [lr 0.002270], [time 0.0321]
07-16 01:25:08.149 [epoch 5], [iter 100 / 570 : 2949], [loss 1.243349], [lr 0.002266], [time 0.0319]
07-16 01:25:33.571 [epoch 5], [iter 150 / 570 : 2999], [loss 1.256472], [lr 0.002262], [time 0.0318]
07-16 01:25:59.041 [epoch 5], [iter 200 / 570 : 3049], [loss 1.281191], [lr 0.002258], [time 0.0318]
07-16 01:26:24.558 [epoch 5], [iter 250 / 570 : 3099], [loss 1.280511], [lr 0.002254], [time 0.0319]
