07-16 21:29:23.376 ImageNet-train: 1281167 images
07-16 21:29:24.484 Model params = 5.941M
07-16 21:29:53.031 [epoch 0], [iter 50 / 570 : 49], [loss 2.700508], [lr 0.002496], [time 0.0329]
07-16 21:30:18.423 [epoch 0], [iter 100 / 570 : 99], [loss 1.941056], [lr 0.002492], [time 0.0317]
07-16 21:30:43.910 [epoch 0], [iter 150 / 570 : 149], [loss 1.805469], [lr 0.002488], [time 0.0319]
07-16 21:31:09.441 [epoch 0], [iter 200 / 570 : 199], [loss 1.713315], [lr 0.002484], [time 0.0319]
07-16 21:31:34.988 [epoch 0], [iter 250 / 570 : 249], [loss 1.611103], [lr 0.002480], [time 0.0319]
07-16 21:32:00.494 [epoch 0], [iter 300 / 570 : 299], [loss 1.591360], [lr 0.002476], [time 0.0319]
07-16 21:32:26.031 [epoch 0], [iter 350 / 570 : 349], [loss 1.559472], [lr 0.002472], [time 0.0319]
07-16 21:32:51.430 [epoch 0], [iter 400 / 570 : 399], [loss 1.529064], [lr 0.002468], [time 0.0317]
07-16 21:33:16.860 [epoch 0], [iter 450 / 570 : 449], [loss 1.440006], [lr 0.002465], [time 0.0318]
07-16 21:33:42.273 [epoch 0], [iter 500 / 570 : 499], [loss 1.456609], [lr 0.002461], [time 0.0318]
07-16 21:34:07.675 [epoch 0], [iter 550 / 570 : 549], [loss 1.443419], [lr 0.002457], [time 0.0317]
07-16 21:34:18.617 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_21/last_None_epoch_0_mean-iu_0.00000.pth
07-16 21:34:46.287 [epoch 1], [iter 50 / 570 : 619], [loss 1.411849], [lr 0.002451], [time 0.0319]
07-16 21:35:11.791 [epoch 1], [iter 100 / 570 : 669], [loss 1.437882], [lr 0.002447], [time 0.0319]
07-16 21:35:37.224 [epoch 1], [iter 150 / 570 : 719], [loss 1.390401], [lr 0.002443], [time 0.0318]
07-16 21:36:02.656 [epoch 1], [iter 200 / 570 : 769], [loss 1.368938], [lr 0.002439], [time 0.0318]
07-16 21:36:28.080 [epoch 1], [iter 250 / 570 : 819], [loss 1.405303], [lr 0.002435], [time 0.0318]
07-16 21:36:53.505 [epoch 1], [iter 300 / 570 : 869], [loss 1.331567], [lr 0.002431], [time 0.0318]
07-16 21:37:18.920 [epoch 1], [iter 350 / 570 : 919], [loss 1.347169], [lr 0.002427], [time 0.0318]
07-16 21:37:44.358 [epoch 1], [iter 400 / 570 : 969], [loss 1.329353], [lr 0.002423], [time 0.0318]
07-16 21:38:09.849 [epoch 1], [iter 450 / 570 : 1019], [loss 1.329924], [lr 0.002419], [time 0.0319]
07-16 21:38:35.286 [epoch 1], [iter 500 / 570 : 1069], [loss 1.299958], [lr 0.002415], [time 0.0318]
07-16 21:39:00.677 [epoch 1], [iter 550 / 570 : 1119], [loss 1.377624], [lr 0.002411], [time 0.0317]
07-16 21:39:11.315 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_21/last_None_epoch_1_mean-iu_0.00000.pth
07-16 21:39:38.866 [epoch 2], [iter 50 / 570 : 1189], [loss 1.323192], [lr 0.002406], [time 0.0320]
07-16 21:40:04.286 [epoch 2], [iter 100 / 570 : 1239], [loss 1.329273], [lr 0.002402], [time 0.0318]
07-16 21:40:29.704 [epoch 2], [iter 150 / 570 : 1289], [loss 1.324546], [lr 0.002398], [time 0.0318]
07-16 21:40:55.197 [epoch 2], [iter 200 / 570 : 1339], [loss 1.290541], [lr 0.002394], [time 0.0319]
07-16 21:41:20.633 [epoch 2], [iter 250 / 570 : 1389], [loss 1.260545], [lr 0.002390], [time 0.0318]
07-16 21:41:46.064 [epoch 2], [iter 300 / 570 : 1439], [loss 1.275558], [lr 0.002386], [time 0.0318]
07-16 21:42:11.521 [epoch 2], [iter 350 / 570 : 1489], [loss 1.302448], [lr 0.002382], [time 0.0318]
07-16 21:42:36.977 [epoch 2], [iter 400 / 570 : 1539], [loss 1.283371], [lr 0.002378], [time 0.0318]
07-16 21:43:02.400 [epoch 2], [iter 450 / 570 : 1589], [loss 1.284166], [lr 0.002374], [time 0.0318]
07-16 21:43:27.876 [epoch 2], [iter 500 / 570 : 1639], [loss 1.271798], [lr 0.002370], [time 0.0318]
07-16 21:43:53.386 [epoch 2], [iter 550 / 570 : 1689], [loss 1.260059], [lr 0.002366], [time 0.0319]
07-16 21:44:04.022 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_21/last_None_epoch_2_mean-iu_0.00000.pth
07-16 21:44:31.403 [epoch 3], [iter 50 / 570 : 1759], [loss 1.271392], [lr 0.002361], [time 0.0319]
07-16 21:44:56.872 [epoch 3], [iter 100 / 570 : 1809], [loss 1.250883], [lr 0.002357], [time 0.0318]
07-16 21:45:22.352 [epoch 3], [iter 150 / 570 : 1859], [loss 1.249500], [lr 0.002353], [time 0.0318]
07-16 21:45:47.823 [epoch 3], [iter 200 / 570 : 1909], [loss 1.244017], [lr 0.002349], [time 0.0318]
07-16 21:46:13.285 [epoch 3], [iter 250 / 570 : 1959], [loss 1.263046], [lr 0.002345], [time 0.0318]
07-16 21:46:38.833 [epoch 3], [iter 300 / 570 : 2009], [loss 1.277336], [lr 0.002341], [time 0.0319]
07-16 21:47:04.297 [epoch 3], [iter 350 / 570 : 2059], [loss 1.255580], [lr 0.002337], [time 0.0318]
