07-16 09:11:26.406 ImageNet-train: 1281167 images
07-16 09:11:27.486 Model params = 5.941M
07-16 09:11:56.133 [epoch 0], [iter 50 / 570 : 49], [loss 2.700723], [lr 0.002496], [time 0.0329]
07-16 09:12:21.602 [epoch 0], [iter 100 / 570 : 99], [loss 1.941175], [lr 0.002492], [time 0.0318]
07-16 09:12:47.106 [epoch 0], [iter 150 / 570 : 149], [loss 1.805266], [lr 0.002488], [time 0.0319]
07-16 09:13:12.661 [epoch 0], [iter 200 / 570 : 199], [loss 1.714106], [lr 0.002484], [time 0.0319]
07-16 09:13:38.210 [epoch 0], [iter 250 / 570 : 249], [loss 1.611285], [lr 0.002480], [time 0.0319]
07-16 09:14:03.737 [epoch 0], [iter 300 / 570 : 299], [loss 1.591274], [lr 0.002476], [time 0.0319]
07-16 09:14:29.305 [epoch 0], [iter 350 / 570 : 349], [loss 1.560093], [lr 0.002472], [time 0.0320]
07-16 09:14:54.783 [epoch 0], [iter 400 / 570 : 399], [loss 1.530837], [lr 0.002468], [time 0.0318]
07-16 09:15:20.241 [epoch 0], [iter 450 / 570 : 449], [loss 1.440120], [lr 0.002465], [time 0.0318]
07-16 09:15:45.712 [epoch 0], [iter 500 / 570 : 499], [loss 1.457917], [lr 0.002461], [time 0.0318]
07-16 09:16:11.166 [epoch 0], [iter 550 / 570 : 549], [loss 1.443549], [lr 0.002457], [time 0.0318]
07-16 09:16:21.818 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_0_mean-iu_0.00000.pth
07-16 09:16:49.721 [epoch 1], [iter 50 / 570 : 619], [loss 1.412792], [lr 0.002451], [time 0.0321]
07-16 09:17:15.167 [epoch 1], [iter 100 / 570 : 669], [loss 1.437941], [lr 0.002447], [time 0.0318]
07-16 09:17:40.588 [epoch 1], [iter 150 / 570 : 719], [loss 1.389862], [lr 0.002443], [time 0.0318]
07-16 09:18:06.009 [epoch 1], [iter 200 / 570 : 769], [loss 1.370293], [lr 0.002439], [time 0.0318]
07-16 09:18:31.429 [epoch 1], [iter 250 / 570 : 819], [loss 1.405826], [lr 0.002435], [time 0.0318]
07-16 09:18:56.862 [epoch 1], [iter 300 / 570 : 869], [loss 1.332610], [lr 0.002431], [time 0.0318]
07-16 09:19:22.293 [epoch 1], [iter 350 / 570 : 919], [loss 1.347141], [lr 0.002427], [time 0.0318]
07-16 09:19:47.695 [epoch 1], [iter 400 / 570 : 969], [loss 1.329014], [lr 0.002423], [time 0.0317]
07-16 09:20:13.149 [epoch 1], [iter 450 / 570 : 1019], [loss 1.330356], [lr 0.002419], [time 0.0318]
07-16 09:20:38.548 [epoch 1], [iter 500 / 570 : 1069], [loss 1.299586], [lr 0.002415], [time 0.0317]
07-16 09:21:03.947 [epoch 1], [iter 550 / 570 : 1119], [loss 1.378168], [lr 0.002411], [time 0.0317]
07-16 09:21:14.624 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_1_mean-iu_0.00000.pth
07-16 09:21:42.769 [epoch 2], [iter 50 / 570 : 1189], [loss 1.324056], [lr 0.002406], [time 0.0322]
07-16 09:22:08.239 [epoch 2], [iter 100 / 570 : 1239], [loss 1.329732], [lr 0.002402], [time 0.0318]
07-16 09:22:33.694 [epoch 2], [iter 150 / 570 : 1289], [loss 1.325697], [lr 0.002398], [time 0.0318]
07-16 09:22:59.171 [epoch 2], [iter 200 / 570 : 1339], [loss 1.291486], [lr 0.002394], [time 0.0318]
07-16 09:23:24.643 [epoch 2], [iter 250 / 570 : 1389], [loss 1.260907], [lr 0.002390], [time 0.0318]
07-16 09:23:50.094 [epoch 2], [iter 300 / 570 : 1439], [loss 1.276353], [lr 0.002386], [time 0.0318]
07-16 09:24:15.543 [epoch 2], [iter 350 / 570 : 1489], [loss 1.303911], [lr 0.002382], [time 0.0318]
07-16 09:24:40.992 [epoch 2], [iter 400 / 570 : 1539], [loss 1.284539], [lr 0.002378], [time 0.0318]
07-16 09:25:06.429 [epoch 2], [iter 450 / 570 : 1589], [loss 1.286000], [lr 0.002374], [time 0.0318]
07-16 09:25:31.866 [epoch 2], [iter 500 / 570 : 1639], [loss 1.273227], [lr 0.002370], [time 0.0318]
07-16 09:25:57.364 [epoch 2], [iter 550 / 570 : 1689], [loss 1.260837], [lr 0.002366], [time 0.0319]
07-16 09:26:08.080 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_2_mean-iu_0.00000.pth
07-16 09:26:35.814 [epoch 3], [iter 50 / 570 : 1759], [loss 1.271192], [lr 0.002361], [time 0.0321]
07-16 09:27:01.254 [epoch 3], [iter 100 / 570 : 1809], [loss 1.251334], [lr 0.002357], [time 0.0318]
07-16 09:27:26.719 [epoch 3], [iter 150 / 570 : 1859], [loss 1.250879], [lr 0.002353], [time 0.0318]
07-16 09:27:52.167 [epoch 3], [iter 200 / 570 : 1909], [loss 1.244847], [lr 0.002349], [time 0.0318]
07-16 09:28:17.603 [epoch 3], [iter 250 / 570 : 1959], [loss 1.262653], [lr 0.002345], [time 0.0318]
07-16 09:28:43.085 [epoch 3], [iter 300 / 570 : 2009], [loss 1.278283], [lr 0.002341], [time 0.0318]
07-16 09:29:08.522 [epoch 3], [iter 350 / 570 : 2059], [loss 1.256141], [lr 0.002337], [time 0.0318]
07-16 09:29:33.933 [epoch 3], [iter 400 / 570 : 2109], [loss 1.259181], [lr 0.002333], [time 0.0318]
07-16 09:29:59.350 [epoch 3], [iter 450 / 570 : 2159], [loss 1.202671], [lr 0.002329], [time 0.0318]
07-16 09:30:24.795 [epoch 3], [iter 500 / 570 : 2209], [loss 1.264467], [lr 0.002325], [time 0.0318]
07-16 09:30:50.220 [epoch 3], [iter 550 / 570 : 2259], [loss 1.245552], [lr 0.002321], [time 0.0318]
07-16 09:31:00.921 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_3_mean-iu_0.00000.pth
07-16 09:31:28.705 [epoch 4], [iter 50 / 570 : 2329], [loss 1.247778], [lr 0.002315], [time 0.0321]
07-16 09:31:54.098 [epoch 4], [iter 100 / 570 : 2379], [loss 1.272318], [lr 0.002311], [time 0.0317]
07-16 09:32:19.498 [epoch 4], [iter 150 / 570 : 2429], [loss 1.231658], [lr 0.002307], [time 0.0317]
07-16 09:32:44.966 [epoch 4], [iter 200 / 570 : 2479], [loss 1.216601], [lr 0.002303], [time 0.0318]
07-16 09:33:10.395 [epoch 4], [iter 250 / 570 : 2529], [loss 1.218658], [lr 0.002299], [time 0.0318]
07-16 09:33:35.809 [epoch 4], [iter 300 / 570 : 2579], [loss 1.246803], [lr 0.002295], [time 0.0318]
07-16 09:34:01.227 [epoch 4], [iter 350 / 570 : 2629], [loss 1.243401], [lr 0.002291], [time 0.0318]
07-16 09:34:26.639 [epoch 4], [iter 400 / 570 : 2679], [loss 1.254303], [lr 0.002287], [time 0.0318]
07-16 09:34:52.074 [epoch 4], [iter 450 / 570 : 2729], [loss 1.188777], [lr 0.002283], [time 0.0318]
07-16 09:35:17.539 [epoch 4], [iter 500 / 570 : 2779], [loss 1.213308], [lr 0.002279], [time 0.0318]
07-16 09:35:42.925 [epoch 4], [iter 550 / 570 : 2829], [loss 1.241809], [lr 0.002276], [time 0.0317]
07-16 09:35:53.620 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_4_mean-iu_0.00000.pth
07-16 09:36:21.420 [epoch 5], [iter 50 / 570 : 2899], [loss 1.218233], [lr 0.002270], [time 0.0319]
07-16 09:36:46.837 [epoch 5], [iter 100 / 570 : 2949], [loss 1.215126], [lr 0.002266], [time 0.0318]
07-16 09:37:12.214 [epoch 5], [iter 150 / 570 : 2999], [loss 1.223712], [lr 0.002262], [time 0.0317]
07-16 09:37:37.647 [epoch 5], [iter 200 / 570 : 3049], [loss 1.224302], [lr 0.002258], [time 0.0318]
07-16 09:38:03.128 [epoch 5], [iter 250 / 570 : 3099], [loss 1.238447], [lr 0.002254], [time 0.0318]
07-16 09:38:28.524 [epoch 5], [iter 300 / 570 : 3149], [loss 1.226612], [lr 0.002250], [time 0.0317]
07-16 09:38:54.010 [epoch 5], [iter 350 / 570 : 3199], [loss 1.208400], [lr 0.002246], [time 0.0319]
07-16 09:39:19.447 [epoch 5], [iter 400 / 570 : 3249], [loss 1.226557], [lr 0.002242], [time 0.0318]
07-16 09:39:44.855 [epoch 5], [iter 450 / 570 : 3299], [loss 1.222187], [lr 0.002238], [time 0.0318]
07-16 09:40:10.304 [epoch 5], [iter 500 / 570 : 3349], [loss 1.234466], [lr 0.002234], [time 0.0318]
07-16 09:40:35.722 [epoch 5], [iter 550 / 570 : 3399], [loss 1.207768], [lr 0.002230], [time 0.0318]
07-16 09:40:46.440 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_5_mean-iu_0.00000.pth
07-16 09:41:14.128 [epoch 6], [iter 50 / 570 : 3469], [loss 1.231951], [lr 0.002224], [time 0.0321]
07-16 09:41:39.557 [epoch 6], [iter 100 / 570 : 3519], [loss 1.219373], [lr 0.002220], [time 0.0318]
07-16 09:42:05.007 [epoch 6], [iter 150 / 570 : 3569], [loss 1.235929], [lr 0.002216], [time 0.0318]
07-16 09:42:30.485 [epoch 6], [iter 200 / 570 : 3619], [loss 1.140512], [lr 0.002212], [time 0.0318]
07-16 09:42:55.908 [epoch 6], [iter 250 / 570 : 3669], [loss 1.170413], [lr 0.002208], [time 0.0318]
07-16 09:43:21.409 [epoch 6], [iter 300 / 570 : 3719], [loss 1.230134], [lr 0.002204], [time 0.0319]
07-16 09:43:46.824 [epoch 6], [iter 350 / 570 : 3769], [loss 1.254001], [lr 0.002200], [time 0.0318]
07-16 09:44:12.309 [epoch 6], [iter 400 / 570 : 3819], [loss 1.205926], [lr 0.002196], [time 0.0318]
07-16 09:44:37.739 [epoch 6], [iter 450 / 570 : 3869], [loss 1.219405], [lr 0.002192], [time 0.0318]
07-16 09:45:03.171 [epoch 6], [iter 500 / 570 : 3919], [loss 1.228358], [lr 0.002188], [time 0.0318]
07-16 09:45:28.583 [epoch 6], [iter 550 / 570 : 3969], [loss 1.196164], [lr 0.002184], [time 0.0318]
07-16 09:45:39.250 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_6_mean-iu_0.00000.pth
07-16 09:46:06.998 [epoch 7], [iter 50 / 570 : 4039], [loss 1.190061], [lr 0.002179], [time 0.0321]
07-16 09:46:32.434 [epoch 7], [iter 100 / 570 : 4089], [loss 1.234826], [lr 0.002175], [time 0.0318]
07-16 09:46:57.853 [epoch 7], [iter 150 / 570 : 4139], [loss 1.230927], [lr 0.002171], [time 0.0318]
07-16 09:47:23.272 [epoch 7], [iter 200 / 570 : 4189], [loss 1.209476], [lr 0.002167], [time 0.0318]
07-16 09:47:48.711 [epoch 7], [iter 250 / 570 : 4239], [loss 1.186382], [lr 0.002163], [time 0.0318]
07-16 09:48:14.132 [epoch 7], [iter 300 / 570 : 4289], [loss 1.209371], [lr 0.002159], [time 0.0318]
07-16 09:48:39.559 [epoch 7], [iter 350 / 570 : 4339], [loss 1.201107], [lr 0.002155], [time 0.0318]
07-16 09:49:05.057 [epoch 7], [iter 400 / 570 : 4389], [loss 1.199700], [lr 0.002151], [time 0.0319]
07-16 09:49:30.488 [epoch 7], [iter 450 / 570 : 4439], [loss 1.170820], [lr 0.002147], [time 0.0318]
07-16 09:49:55.913 [epoch 7], [iter 500 / 570 : 4489], [loss 1.233290], [lr 0.002143], [time 0.0318]
07-16 09:50:21.330 [epoch 7], [iter 550 / 570 : 4539], [loss 1.160071], [lr 0.002139], [time 0.0318]
07-16 09:50:32.004 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_7_mean-iu_0.00000.pth
07-16 09:50:59.725 [epoch 8], [iter 50 / 570 : 4609], [loss 1.200004], [lr 0.002133], [time 0.0322]
07-16 09:51:25.138 [epoch 8], [iter 100 / 570 : 4659], [loss 1.236516], [lr 0.002129], [time 0.0318]
07-16 09:51:50.667 [epoch 8], [iter 150 / 570 : 4709], [loss 1.248086], [lr 0.002125], [time 0.0319]
07-16 09:52:16.123 [epoch 8], [iter 200 / 570 : 4759], [loss 1.185422], [lr 0.002121], [time 0.0318]
07-16 09:52:41.560 [epoch 8], [iter 250 / 570 : 4809], [loss 1.201688], [lr 0.002117], [time 0.0318]
07-16 09:53:07.050 [epoch 8], [iter 300 / 570 : 4859], [loss 1.171496], [lr 0.002113], [time 0.0319]
07-16 09:53:32.541 [epoch 8], [iter 350 / 570 : 4909], [loss 1.217549], [lr 0.002109], [time 0.0319]
07-16 09:53:57.968 [epoch 8], [iter 400 / 570 : 4959], [loss 1.155326], [lr 0.002105], [time 0.0318]
07-16 09:54:23.434 [epoch 8], [iter 450 / 570 : 5009], [loss 1.152869], [lr 0.002101], [time 0.0318]
07-16 09:54:48.833 [epoch 8], [iter 500 / 570 : 5059], [loss 1.238094], [lr 0.002097], [time 0.0317]
07-16 09:55:14.301 [epoch 8], [iter 550 / 570 : 5109], [loss 1.163227], [lr 0.002093], [time 0.0318]
07-16 09:55:24.974 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_09/last_None_epoch_8_mean-iu_0.00000.pth
07-16 09:55:52.719 [epoch 9], [iter 50 / 570 : 5179], [loss 1.199127], [lr 0.002087], [time 0.0321]
07-16 09:56:18.152 [epoch 9], [iter 100 / 570 : 5229], [loss 1.174569], [lr 0.002083], [time 0.0318]
07-16 09:56:43.545 [epoch 9], [iter 150 / 570 : 5279], [loss 1.215859], [lr 0.002079], [time 0.0317]
07-16 09:57:08.952 [epoch 9], [iter 200 / 570 : 5329], [loss 1.198158], [lr 0.002075], [time 0.0318]
07-16 09:57:34.394 [epoch 9], [iter 250 / 570 : 5379], [loss 1.172463], [lr 0.002071], [time 0.0318]
07-16 09:57:59.822 [epoch 9], [iter 300 / 570 : 5429], [loss 1.159898], [lr 0.002067], [time 0.0318]
