07-15 16:46:41.169 ImageNet-train: 1281167 images
07-15 16:46:42.370 Model params = 5.941M
07-15 16:47:11.437 [epoch 0], [iter 50 / 570 : 49], [loss 2.706028], [lr 0.002496], [time 0.0334]
07-15 16:47:36.887 [epoch 0], [iter 100 / 570 : 99], [loss 1.973460], [lr 0.002492], [time 0.0318]
07-15 16:48:02.453 [epoch 0], [iter 150 / 570 : 149], [loss 1.821886], [lr 0.002488], [time 0.0319]
07-15 16:48:28.030 [epoch 0], [iter 200 / 570 : 199], [loss 1.769263], [lr 0.002484], [time 0.0320]
07-15 16:48:53.662 [epoch 0], [iter 250 / 570 : 249], [loss 1.641641], [lr 0.002480], [time 0.0320]
07-15 16:49:19.252 [epoch 0], [iter 300 / 570 : 299], [loss 1.639525], [lr 0.002476], [time 0.0320]
07-15 16:49:44.885 [epoch 0], [iter 350 / 570 : 349], [loss 1.609844], [lr 0.002472], [time 0.0320]
07-15 16:50:10.449 [epoch 0], [iter 400 / 570 : 399], [loss 1.546553], [lr 0.002468], [time 0.0319]
07-15 16:50:36.000 [epoch 0], [iter 450 / 570 : 449], [loss 1.466026], [lr 0.002465], [time 0.0319]
07-15 16:51:01.560 [epoch 0], [iter 500 / 570 : 499], [loss 1.487118], [lr 0.002461], [time 0.0319]
07-15 16:51:27.111 [epoch 0], [iter 550 / 570 : 549], [loss 1.480984], [lr 0.002457], [time 0.0319]
07-15 16:51:37.817 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_15_16/last_None_epoch_0_mean-iu_0.00000.pth
07-15 16:52:05.726 [epoch 1], [iter 50 / 570 : 619], [loss 1.447306], [lr 0.002451], [time 0.0322]
07-15 16:52:31.338 [epoch 1], [iter 100 / 570 : 669], [loss 1.476763], [lr 0.002447], [time 0.0320]
07-15 16:52:56.842 [epoch 1], [iter 150 / 570 : 719], [loss 1.457864], [lr 0.002443], [time 0.0319]
07-15 16:53:22.381 [epoch 1], [iter 200 / 570 : 769], [loss 1.396394], [lr 0.002439], [time 0.0319]
07-15 16:53:47.866 [epoch 1], [iter 250 / 570 : 819], [loss 1.395317], [lr 0.002435], [time 0.0318]
07-15 16:54:13.386 [epoch 1], [iter 300 / 570 : 869], [loss 1.361096], [lr 0.002431], [time 0.0319]
07-15 16:54:38.885 [epoch 1], [iter 350 / 570 : 919], [loss 1.396648], [lr 0.002427], [time 0.0319]
07-15 16:55:04.423 [epoch 1], [iter 400 / 570 : 969], [loss 1.429096], [lr 0.002423], [time 0.0319]
07-15 16:55:30.011 [epoch 1], [iter 450 / 570 : 1019], [loss 1.371945], [lr 0.002419], [time 0.0320]
07-15 16:55:55.515 [epoch 1], [iter 500 / 570 : 1069], [loss 1.391125], [lr 0.002415], [time 0.0319]
07-15 16:56:20.981 [epoch 1], [iter 550 / 570 : 1119], [loss 1.394612], [lr 0.002411], [time 0.0318]
07-15 16:56:31.705 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_15_16/last_None_epoch_1_mean-iu_0.00000.pth
07-15 16:56:59.751 [epoch 2], [iter 50 / 570 : 1189], [loss 1.386818], [lr 0.002406], [time 0.0323]
07-15 16:57:25.236 [epoch 2], [iter 100 / 570 : 1239], [loss 1.368815], [lr 0.002402], [time 0.0318]
07-15 16:57:50.728 [epoch 2], [iter 150 / 570 : 1289], [loss 1.363490], [lr 0.002398], [time 0.0319]
07-15 16:58:16.358 [epoch 2], [iter 200 / 570 : 1339], [loss 1.351737], [lr 0.002394], [time 0.0320]
07-15 16:58:41.852 [epoch 2], [iter 250 / 570 : 1389], [loss 1.316443], [lr 0.002390], [time 0.0319]
07-15 16:59:07.372 [epoch 2], [iter 300 / 570 : 1439], [loss 1.325054], [lr 0.002386], [time 0.0319]
07-15 16:59:32.856 [epoch 2], [iter 350 / 570 : 1489], [loss 1.358747], [lr 0.002382], [time 0.0318]
07-15 16:59:58.373 [epoch 2], [iter 400 / 570 : 1539], [loss 1.327822], [lr 0.002378], [time 0.0319]
07-15 17:00:23.878 [epoch 2], [iter 450 / 570 : 1589], [loss 1.315087], [lr 0.002374], [time 0.0319]
07-15 17:00:49.414 [epoch 2], [iter 500 / 570 : 1639], [loss 1.320244], [lr 0.002370], [time 0.0319]
07-15 17:01:14.946 [epoch 2], [iter 550 / 570 : 1689], [loss 1.283245], [lr 0.002366], [time 0.0319]
07-15 17:01:25.664 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_15_16/last_None_epoch_2_mean-iu_0.00000.pth
07-15 17:01:53.787 [epoch 3], [iter 50 / 570 : 1759], [loss 1.280327], [lr 0.002361], [time 0.0322]
07-15 17:02:19.363 [epoch 3], [iter 100 / 570 : 1809], [loss 1.335069], [lr 0.002357], [time 0.0320]
07-15 17:02:44.872 [epoch 3], [iter 150 / 570 : 1859], [loss 1.316931], [lr 0.002353], [time 0.0319]
07-15 17:03:10.483 [epoch 3], [iter 200 / 570 : 1909], [loss 1.285374], [lr 0.002349], [time 0.0320]
07-15 17:03:35.992 [epoch 3], [iter 250 / 570 : 1959], [loss 1.302268], [lr 0.002345], [time 0.0319]
