07-16 05:05:35.025 ImageNet-train: 1281167 images
07-16 05:05:36.177 Model params = 5.941M
07-16 05:06:04.827 [epoch 0], [iter 50 / 570 : 49], [loss 2.705501], [lr 0.002496], [time 0.0333]
07-16 05:06:30.249 [epoch 0], [iter 100 / 570 : 99], [loss 1.974774], [lr 0.002492], [time 0.0318]
07-16 05:06:55.750 [epoch 0], [iter 150 / 570 : 149], [loss 1.822074], [lr 0.002488], [time 0.0319]
07-16 05:07:21.293 [epoch 0], [iter 200 / 570 : 199], [loss 1.765760], [lr 0.002484], [time 0.0319]
07-16 05:07:46.856 [epoch 0], [iter 250 / 570 : 249], [loss 1.639121], [lr 0.002480], [time 0.0319]
07-16 05:08:12.380 [epoch 0], [iter 300 / 570 : 299], [loss 1.631295], [lr 0.002476], [time 0.0319]
07-16 05:08:37.948 [epoch 0], [iter 350 / 570 : 349], [loss 1.599656], [lr 0.002472], [time 0.0320]
07-16 05:09:03.447 [epoch 0], [iter 400 / 570 : 399], [loss 1.539461], [lr 0.002468], [time 0.0319]
07-16 05:09:28.924 [epoch 0], [iter 450 / 570 : 449], [loss 1.457441], [lr 0.002465], [time 0.0318]
07-16 05:09:54.386 [epoch 0], [iter 500 / 570 : 499], [loss 1.481850], [lr 0.002461], [time 0.0318]
07-16 05:10:19.839 [epoch 0], [iter 550 / 570 : 549], [loss 1.469343], [lr 0.002457], [time 0.0318]
07-16 05:10:30.480 Saved file to ./logs/2306/lraspp_agriseg_wildnet/07_16_05/last_None_epoch_0_mean-iu_0.00000.pth
07-16 05:10:58.250 [epoch 1], [iter 50 / 570 : 619], [loss 1.440657], [lr 0.002451], [time 0.0322]
07-16 05:11:23.769 [epoch 1], [iter 100 / 570 : 669], [loss 1.470969], [lr 0.002447], [time 0.0319]
07-16 05:11:49.181 [epoch 1], [iter 150 / 570 : 719], [loss 1.454341], [lr 0.002443], [time 0.0318]
07-16 05:12:14.614 [epoch 1], [iter 200 / 570 : 769], [loss 1.388721], [lr 0.002439], [time 0.0318]
